# CAN Bus 日誌示例
# 時間戳, CAN ID, 數據長度, 數據

2025-04-14 23:27:35, 0x123, 8, 01 02 03 04 05 06 07 08
2025-04-14 23:27:35, 0x456, 4, AA BB CC DD
2025-04-14 23:27:35, 0x789, 2, FF EE
2025-04-14 23:27:35, 0xABC, 8, 11 22 33 44 55 66 77 88
2025-04-14 23:27:35, 0xDEF, 1, 99

# 錯誤示例
2025-04-14 23:27:35, 0x123, 8, FF FF FF FF FF FF FF FF  # 錯誤：數據長度不匹配
2025-04-14 23:27:35, 0x456, 4, XX YY ZZ WW  # 錯誤：無效數據

# 正常通訊
2025-04-14 23:27:35, 0x789, 2, 00 00
2025-04-14 23:27:35, 0xABC, 8, 00 00 00 00 00 00 00 00
2025-04-14 23:27:35, 0xDEF, 1, 00
