# CAN Bus 日誌示例
# 時間戳, CAN ID, 數據長度, 數據

2024-04-14T10:00:00.000, 0x123, 8, 01 02 03 04 05 06 07 08
2024-04-14T10:00:00.001, 0x456, 4, AA BB CC DD
2024-04-14T10:00:00.002, 0x789, 2, FF EE
2024-04-14T10:00:00.003, 0xABC, 8, 11 22 33 44 55 66 77 88
2024-04-14T10:00:00.004, 0xDEF, 1, 99

# 錯誤示例
2024-04-14T10:00:00.005, 0x123, 8, FF FF FF FF FF FF FF FF  # 錯誤：數據長度不匹配
2024-04-14T10:00:00.006, 0x456, 4, XX YY ZZ WW  # 錯誤：無效數據

# 正常通訊
2024-04-14T10:00:00.007, 0x789, 2, 00 00
2024-04-14T10:00:00.008, 0xABC, 8, 00 00 00 00 00 00 00 00
2024-04-14T10:00:00.009, 0xDEF, 1, 00
